nameExam,nameIndicator,referenceInf,referenceSup
"ANTIGENO PROSTATICO ESPECIFICO, ng/mL","ANTIGENO PROSTATICO ESPECIFICO, ng/mL",0,4
"ANTIGENO PROSTATICO LIBRE, ng/mL","ANTIGENO PROSTATICO ESPECIFICO, ng/mL",0,4
"ANTIGENO PROSTATICO LIBRE, ng/mL",INDICE PSA-L/PSA-T,7,25
"ANTIGENO PROSTATICO LIBRE, ng/mL","ANTIGENO PROSTATICO LIBRE, ng/mL",4,10
PERFIL HEPÁTICO,"TRANSAMINASA GPT/ALT, U/L",10,49
"NITROGENO UREICO EN SUERO, mg/dL","NITROGENO UREICO EN SUERO, mg/dL",9,23
PERFIL BIOQUIMICO,"NITROGENO UREICO EN SUERO, mg/dL",9,23
PERFIL BIOQUIMICO,UREA EN SUERO,19,49
PERFIL BIOQUIMICO,"PROTEINAS TOTALES, g/dL",5.7,8.2
PERFIL HEPÁTICO,Bilirrubina no conjugada,0,0.3
PERFIL BIOQUIMICO,"CALCIO, mg/dL",8.7,10.4
HEMOGRAMA COMPLETO,VHS-Velocidad de eritrosedimentación,0,14
PERFIL BIOQUIMICO,"LACTATO DESHIDROGENASA LDH , U/L",120,246
PERFIL HEPÁTICO,"FOSFATASA ALCALINA, U/L",46,116
PERFIL BIOQUIMICO,"FOSFATASA ALCALINA, U/L",46,116
PERFIL BIOQUIMICO,"FOSFORO, mg/dL",2.4,5.1
PERFIL HEPÁTICO,Gama Glutamil transferasa,0,73
PERFIL HEPÁTICO,"TRANSAMINASA GOT/AST, U/L",0,34
PERFIL BIOQUIMICO,"TRANSAMINASA GOT/AST, U/L",0,34
PERFIL HEPÁTICO,TIEMPO DE PROTROMBINA,10.7,13.8
PERFIL HEPÁTICO,INR,0.92,1.2
PERFIL BIOQUIMICO,"COLESTEROL TOTAL, mg/dL",0,200
PERFIL BIOQUIMICO,GLICEMIA BASAL,74,99
HEMOGRAMA COMPLETO,ERITROCITOS,0,0
HEMOGRAMA COMPLETO,LEUCOCITOS,0,0
HEMOGRAMA COMPLETO,PLAQUETAS,0,0
HEMOGRAMA COMPLETO,RAN,0,0
HEMOGRAMA COMPLETO,Hematocrito,41,53
HEMOGRAMA COMPLETO,Hemoglobina en sangre total,13.5,17.5
PERFIL HEPÁTICO,PORCENTAJE PROTROMBINA,70,120
HEMOGRAMA COMPLETO,"Recuento de leucocitos, absoluto",0,0
HEMOGRAMA COMPLETO,VCM,0,0
HEMOGRAMA COMPLETO,HCM,0,0
HEMOGRAMA COMPLETO,CHCM,0,0
HEMOGRAMA COMPLETO,NEUTRÓFILOS,0,0
HEMOGRAMA COMPLETO,LINFOCITOS,0,0
HEMOGRAMA COMPLETO,MONOCITOS,0,0
HEMOGRAMA COMPLETO,BASÓFILOS,0,0
HEMOGRAMA COMPLETO,EOSINÓFILOS,0,0
HEMOGRAMA COMPLETO,Recuento de plaquetas (absoluto),0,0
Recuento de reticulocitos,Recuento de reticulocitos,0,2
PERFIL HEPÁTICO,BILIRRUBINA INDIRECTA,0,0
HEMOGRAMA COMPLETO,"Recuento de eritrocitos, absoluto",0,0
"CREATININA, mg/dL","CREATININA, mg/dL",0,0
HEMOGRAMA COMPLETO,IDM,0,0
PERFIL BIOQUIMICO,"ACIDO URICO, mg/dL",0,0
PERFIL BIOQUIMICO,"ALBUMINA, g/dL",0,0
PERFIL HEPÁTICO,"BILIRRUBINA TOTAL, mg/dL",0,0
PERFIL BIOQUIMICO,"BILIRRUBINA TOTAL, mg/dL",0,0
Orina completa,Cristales,0,0
Orina completa,Eritrocitos,0,2
Orina completa,Leucocitos,0,0
PERFIL LIPIDICO,"COLESTEROL-HDL, mg/dL",0,0
PERFIL LIPIDICO,COLESTEROL VLDL,0,0
HEMOGRAMA COMPLETO,IDM,0,0
"CREATININA, mg/dL","CREATININA, mg/dL",0,0
Orina completa,Densidad específica,0,0
Orina completa,PH,0,0
Orina completa,Nitritos,0,0
Orina completa,Urobilinógeno,0,0
Orina completa,Proteínas,0,0
Orina completa,Glucosa,0,0
Orina completa,Cuerpos cetónicos,0,0
Orina completa,Bilirrubina,0,0
HEMOGRAMA COMPLETO,Recuento de plaquetas (absoluto),0,0
HEMOGRAMA COMPLETO,EOSINÓFILOS,0,0
HEMOGRAMA COMPLETO,BASÓFILOS,0,0
HEMOGRAMA COMPLETO,MONOCITOS,0,0
HEMOGRAMA COMPLETO,LINFOCITOS,0,0
HEMOGRAMA COMPLETO,NEUTRÓFILOS,0,0
HEMOGRAMA COMPLETO,CHCM,0,0
HEMOGRAMA COMPLETO,HCM,0,0
HEMOGRAMA COMPLETO,VCM,0,0
HEMOGRAMA COMPLETO,"Recuento de leucocitos, absoluto",0,0
HEMOGRAMA COMPLETO,"Recuento de eritrocitos, absoluto",0,0
HEMOGRAMA COMPLETO,Hemoglobina en sangre total,0,0
HEMOGRAMA COMPLETO,Hematocrito,0,0
HEMOGRAMA COMPLETO,RAN,0,0
HEMOGRAMA COMPLETO,PLAQUETAS,0,0
HEMOGRAMA COMPLETO,LEUCOCITOS,0,0
HEMOGRAMA COMPLETO,ERITROCITOS,0,0
Orina completa,Cilindros,0,0
Orina completa,Aspecto,0,0
Orina completa,Color,0,0
GLICEMIA BASAL,GLICEMIA BASAL,74,99
PERFIL LIPIDICO,"COLESTEROL TOTAL, mg/dL",0,200
"TIROXINA (T4), ug/dL","TIROXINA (T4), ug/dL",0,0
HEMOGRAMA COMPLETO,VHS-Velocidad de eritrosedimentación,0,29
PERFIL LIPIDICO,COLESTEROL LDL,0,0
"MICROALBUMINURIA ORINA AISLADA, mg/dL","MICROALBUMINURIA ORINA AISLADA, mg/dL",0,0
HORMONA ESTIMULANTE DE LA TIROIDES TSH,HORMONA ESTIMULANTE DE LA TIROIDES TSH,0,0
PERFIL LIPIDICO,"TRIGLICERIDOS, mg/dL",0,0
Orina completa,Levaduras,0,0
PERFIL LIPIDICO,ÍNDICE 1 (LDL/HDL),0,0
PERFIL LIPIDICO,ÍNDICE 2 (COT/HDL),0,0
HEMOGLOBINA GLICADA HbA1c,HEMOGLOBINA GLICADA HbA1c,0,0
Orina completa,Células epiteliales,0,0
Orina completa,Mucus,0,0
Orina completa,Bacterias,0,0
UROCULTIVO,RESULTADO,0,0
PERFIL LIPIDICO,ÍNDICE 2 (COT/HDL),0,0
PERFIL LIPIDICO,ÍNDICE 1 (LDL/HDL),0,0
PERFIL LIPIDICO,"TRIGLICERIDOS, mg/dL",0,0
HORMONA ESTIMULANTE DE LA TIROIDES TSH,HORMONA ESTIMULANTE DE LA TIROIDES TSH,0,0
PERFIL HEPÁTICO,"TRANSAMINASA GPT/ALT, U/L",0,0
PERFIL BIOQUIMICO,UREA EN SUERO,0,0
PERFIL BIOQUIMICO,"NITROGENO UREICO EN SUERO, mg/dL",0,0
PERFIL LIPIDICO,COLESTEROL LDL,0,0
PERFIL BIOQUIMICO,"PROTEINAS TOTALES, g/dL",0,0
PERFIL BIOQUIMICO,"CALCIO, mg/dL",0,0
PERFIL HEPÁTICO,Bilirrubina no conjugada,0,0
PERFIL BIOQUIMICO,"LACTATO DESHIDROGENASA LDH , U/L",0,0
PERFIL HEPÁTICO,"TRANSAMINASA GOT/AST, U/L",0,0
PERFIL BIOQUIMICO,"TRANSAMINASA GOT/AST, U/L",0,0
PERFIL HEPÁTICO,Gama Glutamil transferasa,0,0
PERFIL BIOQUIMICO,"FOSFORO, mg/dL",0,0
PERFIL HEPÁTICO,"FOSFATASA ALCALINA, U/L",0,0
PERFIL BIOQUIMICO,"FOSFATASA ALCALINA, U/L",0,0
TIROXINA (T4) LIBRE EN SUERO,TIROXINA (T4) LIBRE EN SUERO,0,0
PERFIL HEPÁTICO,TIEMPO DE PROTROMBINA,0,0
PERFIL LIPIDICO,"COLESTEROL TOTAL, mg/dL",0,0
PERFIL BIOQUIMICO,"COLESTEROL TOTAL, mg/dL",0,0
PERFIL HEPÁTICO,INR,0,0
GLICEMIA BASAL,GLICEMIA BASAL,0,0
"INSULINA BASAL, uUI/mL","INSULINA BASAL, uUI/mL",0,0
PERFIL BIOQUIMICO,GLICEMIA BASAL,0,0
HEMOGRAMA COMPLETO,ERITROCITOS,0,0
HEMOGRAMA COMPLETO,LEUCOCITOS,0,0
HEMOGRAMA COMPLETO,PLAQUETAS,0,0
HEMOGRAMA COMPLETO,RAN,0,0
HEMOGRAMA COMPLETO,Hematocrito,0,0
HEMOGRAMA COMPLETO,Hemoglobina en sangre total,0,0
HEMOGRAMA COMPLETO,"Recuento de eritrocitos, absoluto",0,0
PERFIL HEPÁTICO,PORCENTAJE PROTROMBINA,0,0
HEMOGRAMA COMPLETO,"Recuento de leucocitos, absoluto",0,0
HEMOGRAMA COMPLETO,VCM,0,0
HEMOGRAMA COMPLETO,HCM,0,0
HEMOGRAMA COMPLETO,CHCM,0,0
HEMOGRAMA COMPLETO,NEUTRÓFILOS,0,0
HEMOGRAMA COMPLETO,LINFOCITOS,0,0
HEMOGRAMA COMPLETO,MONOCITOS,0,0
HEMOGRAMA COMPLETO,BASÓFILOS,0,0
HEMOGRAMA COMPLETO,EOSINÓFILOS,0,0
HEMOGRAMA COMPLETO,Recuento de plaquetas (absoluto),0,0
